xcorr,deltacn,sprank,ions,calc_neutral_pep_mass,label
1.944,0.036,59,1680,2539.8736,1
1.392,0.198,1,1952,1310.4361,1
0.494,0.041,9,604,538.5554,1
1.538,0.15,9,1448,1154.2486,1
1.552,0.183,1,2280,2093.331,1
1.566,0.01,5,1748,1154.2486,1
1.304,0.11,9,1248,1546.9074,1
0.839,0.029,8,1006,723.7838,1
0.977,0.084,76,1407,857.879,1
1.193,0.117,22,1352,1310.4361,1
0.786,0.125,1,1007,518.5682,1
0.954,0.17,2,1806,1055.11,1
1.611,0.112,65,932,1810.0349,1
1.939,0.011,2,2392,2713.0019,1
1.22,0.034,6,1656,1559.6995,1
0.792,0.102,1,2210,1210.4267,1
1.505,0.1,43,1464,2016.1274,1
0.937,0.028,4,2209,1054.1283,1
1.351,0.07,23,932,1810.0349,1
1.868,0.135,10,2092,2713.0019,1
0.609,0.392,6,804,445.4735,1
0.232,0.013,3,4100,3091.6484,1
0.326,0.004,6,802,493.5608,1
0.27,0.077,7,803,445.4735,1
0.617,0.071,10,1003,806.9609,1
0.32,0.062,6,603,328.369,1
0.271,0.083,8,802,445.4735,1
1.22,0.054,127,948,1456.6617,1
1.501,0.199,1,1952,1310.4361,1
0.758,0.016,214,1003,754.7954,1
0.515,0.065,14,803,445.4735,1
1.325,0.048,29,1356,1310.4331,1
0.953,0.063,87,1004,648.7148,1
0.926,0.111,18,604,462.5034,1
0.802,0.024,5,604,316.3146,1
0.812,0.091,15,1407,968.121,1
1.172,0.056,4,1548,1368.5071,1
1.209,0.009,32,1036,1094.19,1
1.511,0.003,34,1244,1156.2675,1
1.31,0.054,6,1764,1594.7946,1
1.195,0.008,102,1140,1165.2683,1
0.978,0.027,19,1136,929.0012,1
0.638,0.029,6,1006,766.8956,1
0.872,0.024,25,1207,743.8186,1
0.855,0.016,10,1006,691.7057,1
1.131,0.109,2,1207,743.8186,1
1.37,0.259,10,1207,743.8186,1
0.98,0.016,140,1406,968.121,1
0.792,0.077,26,1807,929.0012,1
0.787,0.031,26,1807,1081.1509,1
1.03,0.023,47,1807,1070.3028,1
1.085,0.082,3,1608,874.0085,1
1.624,0.022,2,1644,1476.6618,1
1.001,0.014,128,936,1066.1357,1
1.589,0.116,83,1136,1144.1662,1
1.574,0.126,28,2407,1424.5737,1
1.816,0.18,32,1776,2069.4106,1
1.188,0.002,11,1136,1109.2475,1
1.535,0.064,21,1764,2004.073,1
0.929,0.02,65,2207,1210.4267,1
1.11,0.01,3,2209,1071.1588,1
1.648,0.009,6,1988,2556.9396,1
1.733,0.056,2,22100,2334.6212,1
0.641,0.057,4,805,636.7125,1
1.647,0.169,3,1536,1055.11,1
1.236,0.019,89,2407,1396.6476,1
1.355,0.084,55,1540,1362.5579,1
1.215,0.059,25,936,1709.8832,1
1.495,0.042,61,936,1709.8832,1
1.279,0.097,6,2176,1810.9883,1
1.976,0.116,81,1480,2359.6974,1
0.869,0.042,67,2208,1168.3183,1
1.502,0.123,4,1032,1594.7946,1
4.042,0.591,1,1732,1883.1315,1
2.336,0.389,1,1626,1624.9467,1
1.375,0.009,25,2809,1583.8354,1
3.457,0.508,1,1926,1624.9467,1
4.452,0.424,1,3284,2618.902,1
1.108,0.046,58,2208,1490.6453,1
1.363,0.02,26,2808,1555.7146,1
1.226,0.05,1,2209,1430.6312,1
1.427,0.151,16,2809,1555.7146,1
1.437,0.16,33,1880,1983.1288,1
2.692,0.459,1,2176,2219.6614,1
1.872,0.042,3,1868,2149.3204,1
1.507,0.017,18,19100,2683.1401,1
1.872,0.089,11,18116,3397.8322,1
1.101,0.129,159,738,1973.1949,1
1.397,0.004,18,1568,2149.3204,1
2.263,0.006,3,2288,2556.9396,1
1.599,0.094,4,3010,1806.0086,1
1.071,0.194,9,938,1935.2204,1
1.889,0.162,1,2284,2587.8694,1
