xcorr,deltacn,sprank,ions,calc_neutral_pep_mass,label
1.894,0.371,1,1848,1420.6292,1
1.124,0.101,2,1744,1258.3483,1
1.16,0.046,82,2809,997.1631,1
1.167,0.035,3,1852,1510.7723,1
2.087,0.166,5,1756,1663.8949,1
0.947,0.067,5,1808,1010.0845,1
1.4,0.209,3,1648,1288.421,1
1.259,0.153,9,1756,1648.8114,1
1.017,0.294,5,1407,757.8021,1
0.976,0.05,89,1406,832.9096,1
1.455,0.064,243,1360,1573.7643,1
0.978,0.061,30,2208,1255.397,1
1.15,0.082,37,1205,794.9066,1
1.56,0.175,2,2148,1420.6292,1
1.212,0.035,101,1348,1592.8131,1
1.047,0.058,31,1408,770.8442,1
0.79,0.045,129,1205,645.6678,1
1.817,0.287,1,1318,1066.223,1
0.719,0.033,16,1004,620.7038,1
1.6,0.137,8,1956,1516.7124,1
1.354,0.154,55,1036,914.925,1
1.894,0.168,1,1736,1078.1936,1
1.756,0.175,90,1352,1552.8529,1
1.457,0.043,11,1544,1212.2823,1
1.696,0.291,3,1748,1420.6292,1
0.735,0.067,14,1206,793.8419,1
1.53,0.092,18,1744,1099.1656,1
1.373,0.05,104,1352,1558.7649,1
1.545,0.231,11,1752,1378.6098,1
1.085,0.214,46,1244,1254.3689,1
0.905,0.134,44,1005,666.7758,1
0.663,0,28,1004,624.6952,1
0.903,0.096,11,1006,616.7154,1
0.554,0.05,146,1004,766.8962,1
0.798,0.332,14,804,607.6825,1
1.129,0.016,31,1148,1295.3751,1
0.865,0.044,96,1005,670.7672,1
1.804,0.107,5,2060,1578.7459,1
2.01,0.404,2,1848,1420.6292,1
1.132,0.205,5,1608,850.8846,1
1.034,0.118,74,1608,827.8961,1
1.395,0.097,6,1644,1241.2341,1
0.65,0.294,2,1006,666.7758,1
0.991,0.059,129,1205,771.8723,1
1.234,0.262,1,1336,981.1143,1
1.798,0.419,1,1812,1066.223,1
1.226,0.116,122,1140,1167.198,1
0.879,0.001,38,1205,659.6513,1
1.08,0.022,43,1036,992.1406,1
0.599,0.031,101,1004,766.8962,1
1.311,0.086,5,1132,899.9537,1
1.511,0.015,9,1956,1515.6379,1
1.385,0.224,2,1636,1029.0752,1
1.298,0.103,302,748,1295.3696,1
1.781,0.262,4,1852,1552.8529,1
1.356,0.177,1,1518,1025.0404,1
1.546,0.104,5,1956,1578.7088,1
1.166,0.162,29,2209,1131.162,1
1.318,0.114,33,2810,954.138,1
1.46,0.125,1,1644,1371.6647,1
0.669,0.037,84,1205,645.6678,1
1.025,0.073,29,2408,1288.3312,1
0.866,0.033,80,805,650.7734,1
0.928,0.088,65,1205,771.8723,1
1.078,0.001,22,1032,938.953,1
0.597,0.112,71,1004,766.8962,1
1.67,0.183,1,1432,899.9537,1
0.934,0.074,15,1808,981.975,1
1.285,0.048,14,1540,1140.1754,1
0.985,0.085,111,1607,963.9079,1
1.062,0.09,19,1252,1327.4172,1
1.335,0.001,2,2812,954.138,1
2.014,0.061,2,1960,1578.7459,1
0.851,0.206,19,1206,645.6678,1
1.487,0.155,42,1032,992.0637,1
1.373,0.124,26,932,899.9537,1
1.589,0.109,3,1836,1029.0752,1
0.909,0.201,2,1608,1076.1742,1
1.325,0.007,5,1756,1505.7706,1
1.792,0.099,1,1852,1552.8529,1
0.921,0.05,37,1808,998.1075,1
3.077,0.443,3,2164,1894.2634,1
1.307,0.041,6,1536,951.0507,1
0.961,0.036,24,1207,712.8045,1
2.091,0.311,1,2060,1578.7459,1
1.186,0.217,66,840,970.0502,1
1.185,0.032,9,2008,1111.2176,1
1.206,0.203,6,1810,924.025,1
1.222,0.131,5,1810,1000.0336,1
0.875,0.109,24,1206,606.6341,1
1.395,0.123,8,1436,1029.0752,1
0.92,0.093,1,1640,1078.2804,1
2.62,0.309,1,2056,1650.9977,1
0.677,0.019,135,1404,791.8626,1
1.811,0.292,17,1440,1311.504,1
1.884,0.1,16,1760,1619.755,1
1.197,0.041,7,1536,950.1063,1
2.903,0.272,1,2664,1894.2634,1
2.042,0.135,1,1860,1578.7459,1
0.992,0.063,12,1340,970.0502,1
0.784,0.088,55,1006,603.6335,1
1.192,0.069,125,832,899.9537,1
1.064,0.003,8,1607,927.9237,1
1.268,0.078,4,1536,1029.0752,1
2.661,0.396,3,1852,1552.8529,1
1.558,0.21,8,1336,1151.4184,1
0.971,0.165,340,1607,956.0672,1
1.829,0.31,1,1756,1650.9977,1
1.067,0.019,250,1148,1447.6922,1
1.187,0.045,74,840,970.0502,1
3.159,0.357,1,2564,1894.2634,1
0.744,0.025,11,805,629.7147,1
1.347,0.174,44,1448,1286.3154,1
1.234,0.07,4,2009,1271.4802,1
3.173,0.513,1,2138,1955.1064,1
2.092,0.407,1,1752,1552.8529,1
1.658,0.024,27,1864,1650.8124,1
0.669,0.159,9,1006,766.8962,1
2.222,0.12,1,1622,1309.5872,1
3.267,0.548,1,2464,1894.2634,1
1.155,0.207,35,1206,840.9352,1
1.45,0.063,27,2808,1611.6397,1
3.42,0.609,1,1938,1955.1064,1
1.106,0.068,36,936,1018.0947,1
1.213,0.051,94,1344,1244.3648,1
0.979,0.27,4,1810,1036.1539,1
1.44,0.208,10,2009,1006.0374,1
2.001,0.173,5,1756,1650.9977,1
0.78,0.049,1,1410,840.8455,1
2.187,0.072,7,2072,1897.0728,1
0.868,0.067,29,1608,887.989,1
1.083,0.094,7,2811,997.1631,1
2.918,0.547,1,2764,1894.2634,1
0.909,0.102,2,1810,938.0519,1
0.813,0.153,6,1609,911.0666,1
1.173,0.135,4,1752,1364.6114,1
1.461,0.198,37,2208,1109.2077,1
1.087,0.22,108,1405,840.8455,1
1.143,0.028,1,2012,1157.336,1
0.852,0.033,14,1808,999.1326,1
0.793,0.109,50,1205,674.7526,1
1.447,0.099,13,1548,1336.3812,1
3.987,0.643,1,2238,1955.1064,1
2.562,0.409,1,1322,1309.5872,1
2.361,0.192,3,1856,1650.9977,1
0.88,0.022,33,1607,965.9824,1
1.256,0.089,29,2008,1068.2383,1
1.395,0.081,3,1132,1791.9299,1
1,0.035,3,1207,693.7118,1
2.861,0.477,2,2164,1894.2634,1
1.525,0.05,3,1640,1320.446,1
1.098,0.203,6,1808,938.0519,1
1.234,0.193,273,2006,1137.2214,1
0.94,0.051,78,2007,1100.151,1
1.173,0.043,43,1552,1500.5799,1
1.204,0.01,263,1252,1568.7014,1
3.325,0.555,1,2138,1955.1064,1
1.244,0.119,6,2209,1221.3824,1
2.122,0.347,4,1656,1650.9977,1
0.892,0.097,12,1408,791.8626,1
1.414,0.022,11,1872,1973.1765,1
2.152,0.171,10,1768,1897.0264,1
1.006,0.149,31,1280,2398.7014,1
2.186,0.305,1,2212,1309.5872,1
1.002,0.02,89,932,995.1936,1
1.636,0.01,160,1552,1593.6453,1
1.053,0.07,44,1240,1151.2883,1
1.05,0.229,26,2208,1204.2627,1
2.252,0.18,16,1988,2312.5218,1
1.941,0.174,23,1976,1955.1064,1
1.444,0.175,1,2011,1144.2505,1
4.046,0.672,1,2438,1955.1064,1
2.126,0.246,1,1856,1650.9977,1
0.699,0.138,57,1004,678.7868,1
1.65,0.011,10,1976,2092.2939,1
2.231,0.359,1,1322,1309.5872,1
1.146,0.172,37,1206,601.6146,1
0.727,0.105,29,1005,637.694,1
1.951,0.12,3,1964,1701.895,1
3.51,0.578,1,2238,1955.1064,1
2.257,0.305,1,1756,1650.9977,1
1.753,0.058,43,1676,2058.2482,1
1.33,0.025,9,1864,1666.8088,1
0.684,0.021,123,1004,607.6219,1
0.691,0.002,140,832,1595.7325,1
0.914,0.104,7,1006,668.708,1
2.623,0.354,1,1322,1309.5872,1
1.107,0.179,2,1408,798.8546,1
1.514,0.124,22,2409,1403.4632,1
2.3,0.113,3,1872,2103.0515,1
1.278,0.13,1,1810,1089.3006,1
0.82,0.021,8,1207,701.7379,1
1.603,0.106,8,1980,2181.2982,1
2.817,0.435,1,1522,1309.5872,1
1.742,0.042,292,1372,1941.9806,1
1.432,0.008,71,2407,1334.2702,1
1.699,0.179,63,1560,1713.9518,1
0.9,0.027,30,1408,840.8455,1
1.514,0.221,1,2411,1253.4185,1
1.075,0.12,218,2007,1158.2804,1
1.139,0.027,311,2406,1421.6176,1
1.188,0.182,3,1440,1185.1699,1
0.938,0.105,3,1006,739.7868,1
1.295,0.006,160,2807,1492.6988,1
1.931,0.349,67,2608,1408.5719,1
1.571,0.049,7,1876,2058.2482,1
0.538,0.089,19,1205,693.7118,1
0.97,0.129,58,1206,727.6861,1
0.958,0,4,1609,829.906,1
1.668,0.239,98,1664,1911.3403,1
1.413,0.173,455,1176,1999.0325,1
1.27,0.063,138,2609,1370.3556,1
1.45,0.019,92,1472,1902.0947,1
1.768,0.031,18,1764,1894.2634,1
1.588,0.064,15,1876,2119.3288,1
1.275,0.213,287,3005,1562.7056,1
1.425,0.026,239,1488,2273.4936,1
1.125,0.058,17,2009,1148.3714,1
0.917,0.008,2,1336,979.0153,1
1.489,0.004,29,1580,2258.6499,1
1.609,0.117,14,1660,1728.9231,1
1.02,0.021,18,1808,1104.3122,1
1.13,0.015,38,932,1013.0758,1
2.011,0.015,21,17120,3316.5462,1
1.897,0.12,9,2188,2334.5317,1
1.404,0.079,26,1744,1198.2958,1
1.429,0.007,56,1664,1865.1179,1
0.762,0.07,57,1606,886.8712,1
1.22,0.085,23,2008,1139.3201,1
0.584,0.037,1,1810,1136.2775,1
1.209,0.184,66,2407,1397.5261,1
1.827,0.018,313,1480,2097.3104,1
0.834,0.048,22,1407,856.9006,1
0.856,0.081,33,1807,1034.9464,1
1.63,0.048,11,1760,1715.9737,1
0.931,0.074,17,842,2354.6556,1
1.243,0.029,23,832,1965.1534,1
1.76,0,9,2188,2334.5317,1
1.894,0.164,13,1868,2000.2425,1
1.146,0.035,21,2411,1256.4216,1
2.147,0.038,132,1588,2552.8804,1
1.567,0.2,30,2609,1409.5656,1
1.296,0.153,142,1472,2061.5235,1
1.046,0.148,6,2011,1111.2176,1
1.77,0.066,30,1672,1932.2838,1
1.204,0.037,1,2411,1483.7722,1
1.241,0.088,193,2406,1305.4136,1
0.399,0.037,5,604,354.4069,1
2.005,0.211,9,1884,2336.7101,1
1.567,0.054,2,1884,2366.8052,1
1.492,0.02,471,1276,2180.5945,1
0.539,0.145,5,803,495.5334,1
1.625,0.084,7,1868,1843.0239,1
1.402,0.068,30,1764,1705.8021,1
1.912,0.116,51,1684,2250.2256,1
1.409,0.143,3,1964,1724.8052,1
1.245,0.007,127,2608,1512.7294,1
1.705,0.021,152,14100,2604.9528,1
1.155,0.035,25,2008,1222.4075,1
1.379,0.215,1,2411,1336.471,1
1.004,0.095,360,3007,1753.1399,1
2.137,0.187,9,1864,1758.9957,1
2.155,0.235,11,1888,2374.6398,1
1.415,0.088,61,1676,2105.4257,1
1.573,0.007,6,18100,2652.9873,1
1.206,0.135,9,2810,1481.6292,1
1.159,0.09,26,2408,1491.584,1
1.654,0.074,44,1780,2235.5688,1
1.27,0.016,6,2610,1488.6237,1
1.153,0.137,12,2809,1520.5761,1
1.391,0.296,37,3009,1671.7386,1
1.883,0.112,1,2272,1974.2658,1
1.606,0.038,27,1684,2439.6167,1
1.925,0.008,46,1588,2490.818,1
2.015,0.409,1,2068,1880.1522,1
1.073,0.027,34,2407,1283.2774,1
1.164,0.072,2,2410,1459.6231,1
1.02,0.061,35,2607,1335.4862,1
1.896,0.192,103,16104,2882.1827,1
1.204,0.166,57,2608,1485.6116,1
1.558,0.054,68,1576,2096.2877,1
1.481,0.004,10,1896,2418.7824,1
1.738,0.101,7,1868,1847.2042,1
1.389,0.179,5,932,1758.8572,1
1.563,0.142,4,1976,2076.4424,1
1.502,0.186,3,932,1948.2071,1
1.291,0.104,7,1136,1040.1047,1
1.261,0.099,18,2808,1746.8546,1
1.721,0.117,1,2080,2086.4524,1
1.177,0.068,7,2209,1136.2767,1
1.566,0.068,17,19112,2908.1818,1
1.067,0,92,2008,1116.2455,1
1.589,0.067,6,2811,1661.8072,1
1.526,0.016,27,18104,2887.1191,1
1.336,0.028,36,932,1664.8827,1
0.841,0.037,163,2806,1483.5584,1
1.158,0.068,45,2007,1261.4477,1
1.592,0.049,59,1764,1892.0307,1
1.334,0.089,18,2809,1683.79,1
1.905,0.031,212,14112,2908.1818,1
1.124,0.098,150,3007,1650.8154,1
2.072,0.087,67,1684,2482.6209,1
1.714,0.123,3,2088,2530.7236,1
1.337,0.154,34,832,1693.7044,1
1.82,0.007,48,15140,3601.7534,1
1.156,0.027,119,734,1840.9628,1
1.175,0.027,372,534,1828.0954,1
1.243,0.084,9,834,1973.0784,1
1.987,0.1,10,19124,3156.3185,1
1.061,0.114,15,2809,1580.8205,1
1.302,0.115,3,1972,2132.4074,1
1.551,0.109,2,1980,2028.2933,1
0.967,0.006,20,1032,1649.8187,1
1.053,0.001,22,2809,1651.8932,1
1.832,0.325,15,732,2028.2927,1
2.524,0.293,3,23116,2994.0864,1
1.349,0.008,1,1764,1864.1331,1
1.655,0.1,9,1656,1629.6954,1
1.083,0.118,23,842,2266.2684,1
1.468,0.177,172,732,1749.8986,1
1.948,0.123,453,1288,2497.7044,1
1.36,0.034,447,1296,2603.0789,1
1.845,0.07,61,1792,2446.6194,1
1.252,0.178,208,636,1915.1398,1
1.366,0.007,13,17112,2973.3984,1
1.095,0.063,15,840,2148.3207,1
1.372,0.227,1,1036,1949.9544,1
0.953,0.02,230,1606,1107.2322,1
1.186,0.172,53,2609,1335.5236,1
1.736,0.118,451,12108,2855.2842,1
1.483,0.07,109,734,1883.0917,1
1.398,0.036,25,3008,1718.922,1
2.247,0.143,1,2192,2515.766,1
1.334,0.13,9,2610,1544.8089,1
1.786,0.029,3,1972,2135.4092,1
1.518,0.075,5,21108,2829.0454,1
1.835,0.238,9,1142,2274.569,1
0.974,0.008,54,2007,1279.3038,1
1.022,0.024,85,3006,1716.7736,1
1.652,0.005,36,16100,2521.721,1
2.292,0.109,1,21104,2743.0296,1
1.569,0.109,1,2472,2073.4673,1
1.746,0.075,2,2080,2083.1534,1
1.106,0.021,183,3007,1753.1399,1
1.726,0.114,2,2276,2100.5083,1
1.741,0.213,50,1776,2101.3446,1
1.796,0.053,32,1688,2351.3307,1
1.135,0.05,34,2007,1358.6042,1
1.412,0.121,407,534,1761.8229,1
1.999,0.139,3,2188,2539.6728,1
1.743,0.01,44,1696,2664.0758,1
1.75,0.024,159,1372,2142.3532,1
1.219,0.022,6,3009,1726.7313,1
1.912,0.168,1,1780,2373.7484,1
1.62,0.004,96,1592,2487.7496,1
1.127,0.038,13,940,2169.4691,1
1.036,0.025,8,2608,1438.7236,1
2.021,0.109,374,1392,2556.5933,1
1.569,0.009,313,16100,2657.799,1
1.06,0.035,7,2609,1490.6838,1
1.761,0.144,20,20112,2878.1485,1
1.965,0.142,38,1780,2094.0845,1
0.787,0.022,225,2407,1332.4368,1
1.632,0,147,13116,2972.1724,1
1.711,0.054,3,21104,2812.1307,1
2.067,0.179,9,1988,2418.8228,1
1.911,0.063,6,2088,2459.8753,1
1.502,0.013,53,1576,2203.4901,1
1.793,0.047,58,1576,2252.7538,1
1.421,0.095,3,1034,1939.2456,1
